province,,name,,location,,height,
서울특별시,,개화산,,서울특별시 강서구,,128,
서울특별시,,관악산,,"서울특별시 관악구ㆍ금천구, 경기도 안양시ㆍ과천시",,632.2,
서울특별시,,구룡산,,"서울특별시 서초구 염곡동ㆍ내곡동, 강남구 개포동",,307.7,
서울특별시,,궁산,,서울특별시 강서구 가양동,,74,
서울특별시,,대모산,,서울특별시 강남구,,293,
서울특별시,,도봉산(자운봉),,"서울특별시 도봉구, 경기도 의정부시 호원동ㆍ양주시 장흥면",,740.2,
서울특별시,,망우산,,"서울특별시 중랑구 망우동, 면목동, 구리시",,282,
서울특별시,,백련산,,"서울특별시 은평구, 서대문구 홍은동",,216,
서울특별시,,봉제산,,서울특별시 강서구,,105,
서울특별시,,북악산,,서울특별시 종로구 부암동,,342,
서울특별시,,북한산,,"서울특별시 강북구ㆍ성북구ㆍ종로구ㆍ은평구, 경기도 고양시ㆍ양주시",,835.6,
서울특별시,,불암산,,"서울특별시 노원구 상계동, 중계동ㆍ경기도 남양주시 별내면",,509.7,
서울특별시,,삼성산,,"서울특별시 관악구, 금천구, 경기도 안양시",,554,
서울특별시,,수락산,,서울시 노원구 상계동,,640.6,
서울특별시,,아차산,,서울특별시 광진구,,287,
서울특별시,,안산,,서울특별시 서대문구 홍제동,,297,
서울특별시,,용마산,,서울특별시 중랑구 면목동,,357,
서울특별시,,우장산,,서울특별시 강서구 화곡동,,99,
서울특별시,,인왕산,,"서울시 종로구, 서대문구",,340,
서울특별시,,증산,,서울특별시 강서구 염창동,,55,
서울특별시,,청계산,,"서울특별시 서초구 신원동, 경기도 과천시 막계동, 의왕시 청계동, 성남시 수정구",,873,
부산광역시,,개좌산,,부산광역시 기장군,,449,
부산광역시,,거문산,,부산광역시 기장군 철마면 웅천리,,543,
부산광역시,,구덕산,,"부산광역시 북구, 사하구, 서구",,562,
부산광역시,,금정산,,"부산광역시 금정구ㆍ북구, 경상남도 양산시",,800.8,
부산광역시,,달음산,,부산시 기장군,,587,
부산광역시,,배산,,"부산광역시 연제구, 수영구",,225,
부산광역시,,백양산,,부산광역시 부산진구,,642,
부산광역시,,봉래산,,부산광역시,,395,
부산광역시,,봉화산,,부산광역시 강서구 녹산동,,692,
부산광역시,,승학산,,부산광역시 사하구 당리동,,497,
부산광역시,,아미산,,"부산광역시 서구 아미동, 사하구",,234,
부산광역시,,아홉산,,부산광역시 금정구 기장군,,353,
부산광역시,,엄광산(고원견산),,"부산광역시 서구 동대신동, 부산광역시 진구 개금동",,504,
부산광역시,,연태봉,,부산광역시 강서구,,459,
부산광역시,,윤산,,부산광역시,,317,
부산광역시,,일광산,,부산광역시 기장군,,388,
부산광역시,,장산,,부산시 해운대구 좌동,,634,
부산광역시,,철마산,,부산광역시 기장군 철마면,,605,
대구광역시,,금계산,,대구광역시 달성군,,489,
대구광역시,,금산,,대구광역시 달성군 현풍면 상리,,288,
대구광역시,,대덕산,,대구광역시 달서구 송현동,,600,
대구광역시,,마천산,,"대구광역시 달성군, 경상북도 칠곡군",,274,
대구광역시,,무학산,,대구 수성구 황금동,,200,
대구광역시,,뱀산,,대구광역시 달성군 구라리,,91,
대구광역시,,비슬산,,"대구광역시 달성군 옥포면ㆍ유가면ㆍ가창면, 경상북도 청도군 각북면",,1083.4,
대구광역시,,산성산,,대구광역시 달성군 유가면,,654,
대구광역시,,안산,,대구광역시 수성구 욱수동,,470,
대구광역시,,와룡산,,대구광역시 대구,,295,
대구광역시,,용지봉,,대구광역시 수성구 범물동,,634,
대구광역시,,주암산,,대구광역시 달성군 가창면,,854.7,
대구광역시,,천을산,,대구광역시 수성구 고산동,,156,
대구광역시,,최정산,,대구광역시 달성군 가창면,,905,
대구광역시,,학산,,대구광역시 달서구,,118,
대구광역시,,환성산,,"대구시 동구, 경북 경산시 하양읍ㆍ와촌읍",,811,
인천광역시,,가현산,,"인천광역시 서구, 경기도 김포시",,192,
인천광역시,,거마산,,인천광역시 남동구 장수동,,214,
인천광역시,,거머리산,,인천광역시 남동구 만수4동,,125,
인천광역시,,고려산,,"인천광역시 강화군 강화읍, 하점면, 송해면, 내가면",,436,
인천광역시,,구봉산,,인천광역시 옹진군,,178,
인천광역시,,국사봉,,인천광역시 중구,,239,
인천광역시,,낙가산,,인천광역시 강화군 석모도,,267,
인천광역시,,마니산,,인천광역시 강화군 화도면,,472.1,
인천광역시,,문학산,,인천광역시 남구 문학동,,217.1,
인천광역시,,백고지,,인천광역시 옹진군 백령면,,100,
인천광역시,,백운산,,인천광역시 중구,,255,
인천광역시,,비조봉,,인천광역시 옹진군,,231,
인천광역시,,상봉산,,인천광역시 강화군 삼산면 석모도,,316,
인천광역시,,상아산,,인천광역시 남동구,,151,
인천광역시,,석화산,,인천광역시 중구 중산동,,143,
인천광역시,,선포산,,인천광역시 서구,,144,
인천광역시,,앞산,,인천광역시 부평구,,148,
인천광역시,,오봉산,,인천시 남동구 도림동,,101,
인천광역시,,용기원산,,인천광역시 옹진군 백령면,,136,
인천광역시,,정족산,,인천광역시 강화군 길상면,,200,
인천광역시,,해명산,,인천광역시 강화군 석모도,,309,
인천광역시,,혈구산,,인천광역시 강화군 내가면 고천리,,466,
인천광역시,,호룡곡산,,인천광역시 중구,,245,
인천광역시,,화개산,,인천광역시 강화군 교동면 대룡리,,262,
광주광역시,,갈미봉,,"광주광역시 동구 선교동, 내남동",,372,
광주광역시,,금당산,,광주광역시 서구 풍암동,,303.5,
광주광역시,,깃대봉,,광주광역시 동구,,822,
광주광역시,,마집봉,,광주광역시 동구,,311,
광주광역시,,무등산,,"광주광역시 동구, 전라남도 담양군 남면ㆍ화순군 이서면",,1186.8,
광주광역시,,바랑산,,"광주광역시 동구 소태동,용산동",,602,
광주광역시,,어등산,,광주광역시 광산구 산정동ㆍ박호동ㆍ서봉동,,290.4,
대전광역시,,갑하산,,대전광역시 유성구·충남 공주시 반포면,,468.7,
대전광역시,,계룡산,,"대전광역시, 충청남도 공주시 계룡면ㆍ논산시 상월면ㆍ계룡시 신도안면",,846.5,
대전광역시,,계족산,,"대전광역시 대덕구, 동구",,423.9,
대전광역시,,구봉산,,대전광역시 서구 가수원동,,264,
대전광역시,,금병산,,대전광역시 유성구,,390,
대전광역시,,금수봉,,대전광역시 유성,,531,
대전광역시,,만인산,,"대전광역시 동구, 충남 금산군 부추면ㆍ복수면",,538,
대전광역시,,보문산,,대전광역시 중구,,457,
대전광역시,,뾰족산,,대전광역시 동구,,143,
대전광역시,,성치산,,대전광역시 대덕구 신탄진동,,219,
대전광역시,,식장산,,"대전광역시 동구, 충북 옥천군",,596.7,
대전광역시,,장태산,,대전광역시 서구,,471,
대전광역시,,천비산,,"대전광역시 중구 침산동, 서구 정생동",,466,
대전광역시,,함각산,,"대전 동구 효평동,마산동",,315,
대전광역시,,황학산,,대전광역시 동구,,158,
울산광역시,,가지산,,"울산광역시, 경상북도 청도군, 경상남도 밀양시",,1240.9,
울산광역시,,고헌산,,"울산광역시 울주군 두서면, 경상북도 경주시 산내면",,1033,
울산광역시,,문수산,,"울산광역시 울주군 청량면 삼동면, 범서읍",,600,
울산광역시,,신불산,,울산광역시 울주군 삼남면ㆍ상북면,,1159.3,
울산광역시,,염포산,,울산광역시 동구,,203,
울산광역시,,입화산,,울산광역시 중구 다운동,,157,
울산광역시,,천황산,,"울산광역시, 경상남도 밀양시",,1189,
울산광역시,,치술령,,"울산시 울주군 두동면, 경북 경주시 외동읍",,765,
울산광역시,,황방산,,울산광역시 중구 장현동,,103,
경기도,,가덕산,,"경기도 가평군 북면, 강원도 춘천시 서면",,858,
경기도,,가리산,,경기도 포천시 이동면 장암리,,774,
경기도,,각흘봉,,"경기도 포천시, 강원도 철원군",,838,
경기도,,갈기산,,"경기도 양평군, 강원도 홍천군",,685,
경기도,,감악산,,"경기도 양주시 남면, 연천군 전곡읍, 파주시 적성면",,674.9,
경기도,,강씨봉,,"경기도 포천시, 가평군",,830,
경기도,,검단산,,경기도 하남시 천현동,,658.4,
경기도,,견치봉,,경기도 포천시 이동면/가평군,,1120,
경기도,,계관산,,"경기도 가평군, 강원도 춘천시",,736,
경기도,,계명산,,"경기도 파주시 광탄면, 양주시 석현면",,622,
